time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-09 00:00:00+00:00,416,29,164,46
2026-07-10 00:00:00+00:00,1261,24,159,43
2026-07-11 00:00:00+00:00,1332,49,355,43
2026-07-12 00:00:00+00:00,1465,28,359,41
2026-07-13 00:00:00+00:00,880,19,130,28
2026-07-14 00:00:00+00:00,1023,48,168,43
2026-07-15 00:00:00+00:00,504,22,185,45
2026-07-16 00:00:00+00:00,996,19,188,34
2026-07-17 00:00:00+00:00,1298,46,276,33
2026-07-18 00:00:00+00:00,670,26,172,24
2026-07-19 00:00:00+00:00,510,34,114,25
2026-07-20 00:00:00+00:00,1126,26,125,32
2026-07-21 00:00:00+00:00,1530,39,200,41
2026-07-22 00:00:00+00:00,884,30,214,32
