time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-30 00:00:00+00:00,111,4,118,13
2025-01-31 00:00:00+00:00,19,5,76,19
2025-02-01 00:00:00+00:00,34,3,61,16
2025-02-02 00:00:00+00:00,19,6,47,14
2025-02-03 00:00:00+00:00,146,2,235,17
2025-02-04 00:00:00+00:00,16,7,57,15
2025-02-05 00:00:00+00:00,102,6,127,24
2025-02-06 00:00:00+00:00,67,2,123,14
2025-02-07 00:00:00+00:00,56,3,48,14
2025-02-08 00:00:00+00:00,70,4,65,6
2025-02-09 00:00:00+00:00,96,3,121,23
2025-02-10 00:00:00+00:00,21,6,92,24
2025-02-11 00:00:00+00:00,41,5,63,17
