time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-31 00:00:00+00:00,108,87,44,17
2026-01-01 00:00:00+00:00,151,27,42,10
2026-01-02 00:00:00+00:00,190,8,99,29
2026-01-03 00:00:00+00:00,240,13,57,13
2026-01-04 00:00:00+00:00,145,8,117,23
2026-01-05 00:00:00+00:00,428,9,48,22
2026-01-06 00:00:00+00:00,552,13,152,27
2026-01-07 00:00:00+00:00,174,9,78,24
2026-01-08 00:00:00+00:00,23,5,212,56
2026-01-09 00:00:00+00:00,454,15,114,34
2026-01-10 00:00:00+00:00,201,12,56,23
2026-01-11 00:00:00+00:00,53,7,36,18
2026-01-12 00:00:00+00:00,14,3,60,22
2026-01-13 00:00:00+00:00,145,6,190,23
