time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-06 00:00:00+00:00,552,13,152,27
2026-01-07 00:00:00+00:00,174,9,78,24
2026-01-08 00:00:00+00:00,23,5,212,56
2026-01-09 00:00:00+00:00,454,15,114,34
2026-01-10 00:00:00+00:00,201,12,56,23
2026-01-11 00:00:00+00:00,53,7,36,18
2026-01-12 00:00:00+00:00,14,3,60,22
2026-01-13 00:00:00+00:00,145,6,190,23
2026-01-14 00:00:00+00:00,112,43,281,111
2026-01-15 00:00:00+00:00,334,18,275,54
2026-01-16 00:00:00+00:00,374,47,132,33
2026-01-17 00:00:00+00:00,85,15,88,21
2026-01-18 00:00:00+00:00,649,91,217,39
2026-01-19 00:00:00+00:00,164,34,70,26
