time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-25 00:00:00+00:00,34,3,76,8
2025-02-26 00:00:00+00:00,4,1,104,20
2025-02-27 00:00:00+00:00,12,3,133,19
2025-02-28 00:00:00+00:00,37,1,42,13
2025-03-01 00:00:00+00:00,39,4,129,7
2025-03-02 00:00:00+00:00,8,2,23,4
2025-03-03 00:00:00+00:00,30,5,98,15
2025-03-04 00:00:00+00:00,5,3,74,15
2025-03-05 00:00:00+00:00,19,5,96,16
2025-03-06 00:00:00+00:00,12,4,73,23
2025-03-07 00:00:00+00:00,117,5,143,18
2025-03-08 00:00:00+00:00,84,1,70,16
2025-03-09 00:00:00+00:00,76,3,136,17
2025-03-10 00:00:00+00:00,49,3,142,21
