time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-22 00:00:00+00:00,100,37,91,27
2026-05-23 00:00:00+00:00,81,37,44,16
2026-05-24 00:00:00+00:00,63,27,71,16
2026-05-25 00:00:00+00:00,276,43,95,22
2026-05-26 00:00:00+00:00,244,32,144,24
2026-05-27 00:00:00+00:00,170,29,161,36
2026-05-28 00:00:00+00:00,1055,71,116,27
2026-05-29 00:00:00+00:00,818,38,175,22
2026-05-30 00:00:00+00:00,1577,68,314,27
2026-05-31 00:00:00+00:00,818,55,166,19
2026-06-01 00:00:00+00:00,1185,36,270,32
2026-06-02 00:00:00+00:00,1907,36,218,45
2026-06-03 00:00:00+00:00,1071,87,192,20
2026-06-04 00:00:00+00:00,592,30,140,24
