time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-21 00:00:00+00:00,127,2,162,19
2024-10-22 00:00:00+00:00,24,2,150,19
2024-10-23 00:00:00+00:00,89,3,285,28
2024-10-24 00:00:00+00:00,28,1,293,26
2024-10-25 00:00:00+00:00,23,2,150,24
2024-10-26 00:00:00+00:00,91,3,51,9
2024-10-27 00:00:00+00:00,249,1,110,11
2024-10-28 00:00:00+00:00,286,2,330,36
2024-10-29 00:00:00+00:00,46,3,264,24
2024-10-30 00:00:00+00:00,66,1,166,23
2024-10-31 00:00:00+00:00,157,2,244,27
2024-11-01 00:00:00+00:00,186,2,234,22
2024-11-02 00:00:00+00:00,222,6,143,17
2024-11-03 00:00:00+00:00,83,1,70,12
