time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-24 00:00:00+00:00,12,2,169,20
2025-01-25 00:00:00+00:00,104,2,46,7
2025-01-26 00:00:00+00:00,106,1,34,11
2025-01-27 00:00:00+00:00,139,2,166,20
2025-01-28 00:00:00+00:00,31,2,77,13
2025-01-29 00:00:00+00:00,103,2,155,20
2025-01-30 00:00:00+00:00,111,4,118,13
2025-01-31 00:00:00+00:00,19,5,76,19
2025-02-01 00:00:00+00:00,34,3,61,16
2025-02-02 00:00:00+00:00,19,6,47,14
2025-02-03 00:00:00+00:00,146,2,235,17
2025-02-04 00:00:00+00:00,16,7,57,15
2025-02-05 00:00:00+00:00,102,6,127,24
2025-02-06 00:00:00+00:00,67,2,119,14
