time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-30 00:00:00+00:00,41,2,171,25
2024-10-01 00:00:00+00:00,18,1,169,31
2024-10-02 00:00:00+00:00,1,1,117,16
2024-10-03 00:00:00+00:00,103,2,146,17
2024-10-04 00:00:00+00:00,76,2,336,14
2024-10-05 00:00:00+00:00,2,2,117,12
2024-10-06 00:00:00+00:00,37,1,173,10
2024-10-07 00:00:00+00:00,27,3,255,21
2024-10-08 00:00:00+00:00,58,2,476,22
2024-10-09 00:00:00+00:00,2,2,147,29
2024-10-10 00:00:00+00:00,30,3,267,30
2024-10-11 00:00:00+00:00,48,1,158,21
2024-10-12 00:00:00+00:00,29,2,65,16
2024-10-13 00:00:00+00:00,5,1,45,11
